,X,Y,Z,formation
132,154229.92169332528,123467.06089586735,-752.0,Caillette
133,154257.25263659685,123475.48954874682,-752.4,Caillette
134,154286.76673913884,123484.49853510332,-749.9,Caillette
135,154474.5040149261,123458.27089707498,-731.7,Caillette
136,154488.8781215267,123460.40698721998,-731.7,Caillette
137,154472.63493604923,123535.48165544058,-727.8,Caillette
138,154718.81827782255,123351.07068719645,-713.0,Caillette
139,154725.03278274304,123353.22186197662,-713.0,Caillette
140,154737.58130229404,123349.75608038635,-711.0,Caillette
141,154056.79809672156,123866.76654414018,-662.7,Caillette
142,154083.35580423754,123865.91274305253,-663.1,Caillette
143,154103.5324720458,123866.58679654278,-663.2,Caillette
144,154394.01536279568,123956.88441136153,-665.0,Caillette 
145,154423.1608519636,123969.14925521953,-664.8,Caillette 
146,154445.1848188914,123919.03483945568,-680.0,Caillette 
147,154539.7135090195,123991.2687882277,-667.7,Caillette 
148,154544.01155612778,123810.92046943463,-720.3,Caillette 
149,154522.40821408358,123807.86659385769,-720.0,Caillette 
150,154539.8775742747,123991.27485955649,-667.7,Caillette 
151,154578.42842148567,123999.31579070553,-663.3,Caillette 
152,154611.4190503489,123992.10176382361,-663.9,Caillette 
153,154500.60057351855,124004.23644530542,-662.8,Caillette
154,154530.5067622832,124013.66911084135,-661.9,Caillette
155,154559.93358607808,124023.08631299112,-659.8,Caillette
156,154627.53567565978,124171.779600832,-617.4,Caillette 
157,154638.98753961886,124169.5130860901,-620.2,Caillette 
158,154626.1041926649,124098.65467784318,-638.0,Caillette 
159,154055.50881858604,123696.46019013587,-713.3,Caillette 
160,154059.56271547897,123655.07665935386,-720.0,Caillette 
161,154084.73065868922,123611.32835538432,-733.8,Caillette 
162,153706.49877588093,124073.88833469983,-726.7,10 Paumes
163,153737.7961915421,124071.08156400787,-734.7,10 Paumes
164,153762.24970058445,124068.35169114309,-740.1,10 Paumes
165,153898.32969899938,124086.03925892792,-747.5,10 Paumes
166,153961.77106816755,124094.1273133276,-750.6,10 Paumes
167,154003.40792903616,124099.53412229617,-753.9,10 Paumes
168,153705.02246535002,124242.78528635237,-652.8,10 Paumes
169,153731.54337958092,124245.6709816832,-650.5,10 Paumes
170,153722.23357678737,124081.461175953,-727.3,10 Paumes
171,153731.6202324604,124245.73148345303,-650.5,10 Paumes
172,153758.12074109633,124248.90665960296,-648.0,10 Paumes
173,153773.26388888818,124250.15841173899,-647.3,10 Paumes
174,154039.26390541755,124281.58649425104,-657.5,10 Paumes
175,154052.2650525354,124282.94033271125,-658.7,10 Paumes
176,154092.6223323492,124286.95886909308,-661.5,10 Paumes
177,153716.56613433006,123915.3242208989,-789.6,10 Paumes
178,153763.07519746173,123921.73970920767,-793.0,10 Paumes
179,153838.40877848785,123933.13785040811,-798.0,10 Paumes
180,154014.16978076514,123958.3158325395,-793.8,10 Paumes
181,154053.27630046575,123964.287913455,-794.4,10 Paumes
182,154115.6648411974,123971.3210239748,-798.3,10 Paumes
183,153658.48677873533,123677.34476907334,-849.7,10 Paumes
184,153717.90447802396,123799.00857678198,-825.3,10 Paumes
185,153744.1200313158,123800.09561461976,-829.3,10 Paumes
186,153886.83034205242,123802.9248953423,-822.8,10 Paumes
187,153936.46669196108,123804.13239655642,-825.0,10 Paumes
188,153991.19064698523,123804.98569741439,-827.7,10 Paumes
189,154190.19767380264,123796.9010493181,-847.4,10 Paumes
190,154220.19788905006,123798.18984138123,-848.7,10 Paumes
191,154276.04554511936,123799.55023300345,-851.2,10 Paumes
192,153785.77816230792,123672.5859214033,-849.0,10 Paumes
193,153792.23338670548,123672.27357183567,-849.0,10 Paumes
194,153801.04858561401,123537.02620905395,-877.0,10 Paumes
195,153559.85090717746,123640.24437930672,-854.8,10 Paumes
196,153585.99126863605,123643.72658074189,-853.8,10 Paumes
197,153601.25571328338,123645.44383076472,-853.2,10 Paumes
198,154363.79901131074,123954.12116122621,-835.2,10 Paumes
199,154440.5223959558,123978.12663740355,-834.6,10 Paumes
200,154466.88135018965,123990.52162183497,-832.9,10 Paumes
201,154694.31112245662,124036.53225333801,-805.7,10 Paumes
202,154715.2150515861,124035.77407974264,-806.7,10 Paumes
203,154786.33895553256,124033.53566246107,-801.6,10 Paumes
204,154991.2786511808,124054.22280637154,-801.3,10 Paumes
205,155011.10344218722,124051.82464616915,-800.9,10 Paumes
206,155044.03018176602,124045.06183439834,-799.1,10 Paumes
207,155146.7164136334,124025.78936687658,-799.9,10 Paumes
208,155168.28161979155,124025.53329148538,-797.6,10 Paumes
209,155200.65686567783,124027.08803493188,-795.8,10 Paumes
210,155003.8447597769,123856.3702766692,-829.0,10 Paumes
211,155020.19081575124,123856.59343101697,-829.0,10 Paumes
212,155020.2326571914,123846.43990819331,-828.6,10 Paumes
213,155061.16077222108,123839.03461207722,-831.5,10 Paumes
214,155146.24198717935,123843.39187106432,-833.0,10 Paumes
215,155235.1071375738,123854.28501853203,-835.3,10 Paumes
216,155059.79132113082,123801.40276446183,-833.4,10 Paumes
217,155155.35659414306,123831.72340984916,-838.3,10 Paumes
218,155234.9022549163,123841.9735065692,-835.3,10 Paumes
219,155190.48175537304,123720.75838243618,-831.8,10 Paumes
220,155231.40902814394,123703.89138517299,-840.0,10 Paumes
221,155186.3683577564,123709.55505785301,-831.4,10 Paumes
222,155236.17161766056,123658.8231065568,-831.1,10 Paumes
223,155249.41554333118,123644.47552041359,-832.0,10 Paumes
224,155263.99476191928,123630.00530532899,-832.4,10 Paumes
225,155055.16143194895,123671.20262002635,-823.5,10 Paumes
226,155219.86001063403,123636.19114378773,-828.0,10 Paumes
227,155213.62771261585,123610.47493797212,-824.2,10 Paumes
228,155029.24371567482,123675.56519073562,-839.7,10 Paumes
229,155031.31713297675,123675.56519073562,-839.7,10 Paumes
230,155054.68295103323,123665.27785104523,-828.0,10 Paumes
231,154680.68208681868,123664.30215588294,-871.5,10 Paumes
232,154700.75068125583,123665.13931625345,-868.7,10 Paumes
233,154714.2847739122,123663.95333906196,-865.2,10 Paumes
234,154755.30973500176,123664.94390942481,-859.2,10 Paumes
235,154758.1300378647,123665.72732688674,-859.2,10 Paumes
236,154789.0750276108,123670.58451515068,-859.7,10 Paumes
237,155036.53479406858,123474.30455476335,-848.7,10 Paumes
238,155054.8696459724,123469.89175989837,-848.9,10 Paumes
239,155115.902949598,123453.5457732858,-846.4,10 Paumes
240,155036.4691293397,123474.33333022172,-848.7,10 Paumes
241,155003.58111733297,123482.65626432725,-848.4,10 Paumes
242,154955.60002332885,123495.2804162449,-846.1,10 Paumes
243,154585.75294121465,123590.56346520907,-874.1,10 Paumes
244,154655.69507137366,123572.52558439955,-872.0,10 Paumes
245,154693.0459056154,123561.39068296137,-871.1,10 Paumes
246,154585.8695143295,123590.47420469394,-874.1,10 Paumes
247,154579.7233688568,123592.10426936278,-874.1,10 Paumes
248,154517.19301926496,123609.473810916,-870.3,10 Paumes
249,154838.24579005848,123229.99272913301,-891.2,10 Paumes
250,154850.15407489467,123230.39469655365,-891.2,10 Paumes
251,154866.2327717199,123223.91297189597,-891.0,10 Paumes
252,154920.34324713543,123222.19234913873,-892.0,10 Paumes
253,154952.7163656887,123205.17333824215,-890.6,10 Paumes
254,154983.47082831425,123138.25347746133,-892.2,10 Paumes
255,154181.59462898428,123369.61421605822,-915.6,10 Paumes
256,154245.78912614041,123365.90048481782,-916.7,10 Paumes
257,154289.9560012499,123364.37520234406,-917.32,10 Paumes
258,153690.1620880182,123520.35307761957,-885.1,10 Paumes
259,153754.79594404376,123522.79029941875,-877.75,10 Paumes
260,153768.08988113032,123487.56136613943,-885.55,10 Paumes
261,153983.38043101694,123487.39245014613,-901.5,10 Paumes
262,153997.36534045968,123492.33575650504,-901.7,10 Paumes
263,154029.34895510657,123489.50497423114,-902.6,10 Paumes
264,154158.61016287963,123507.95555482965,-898.64,10 Paumes
265,154180.35838174238,123502.3254685856,-898.0,10 Paumes
266,154210.27826863932,123507.92338290824,-897.07,10 Paumes
267,153928.00583421387,123382.20092984942,-912.45,10 Paumes
268,153967.6603326498,123380.6812364962,-916.73,10 Paumes
269,154095.3620647389,123374.64995350054,-915.72,10 Paumes
270,153917.57392302135,123382.81013864434,-912.0,10 Paumes
271,153927.93047253502,123382.45476684731,-912.45,10 Paumes
272,153955.90330970188,123345.1914955579,-919.0,10 Paumes
273,154114.7931523172,123284.23897091232,-932.44,10 Paumes
274,154151.36554144145,123281.01000859216,-931.19,10 Paumes
275,154242.8978415218,123275.84907300097,-930.0,10 Paumes
276,154002.84832124307,123259.68329498619,-933.0,10 Paumes
277,154116.47178502995,123280.47459148082,-932.44,10 Paumes
278,154138.3609473646,123242.15724862025,-941.0,10 Paumes
279,153868.2291568094,123269.08617150536,-930.8,10 Paumes
280,153880.32106889153,123271.25096394973,-930.2,10 Paumes
281,153939.69823308007,123278.82773750505,-928.0,10 Paumes
282,154243.84044929512,123275.60268374778,-929.3,10 Paumes
283,154336.28753103205,123271.52060481397,-926.48,10 Paumes
284,154295.88695570154,123222.65571875304,-936.2,10 Paumes
285,154295.94408417383,123222.66636586135,-936.2,10 Paumes
286,154336.3225641217,123271.49949840673,-926.48,10 Paumes
287,154360.96781110603,123270.2450213598,-925.73,10 Paumes
288,153761.14124853487,123322.61941024323,-919.3,10 Paumes
289,153796.09568223677,123325.05294676677,-918.1,10 Paumes
290,153809.1482872267,123328.85811296725,-918.4,10 Paumes
291,153539.0727172432,123508.16917328129,-877.9,10 Paumes
292,153569.7410245448,123508.29722466877,-880.35,10 Paumes
293,153573.90269463792,123509.1295586874,-880.35,10 Paumes
294,153472.07240897854,123382.97396155712,-920.0,10 Paumes
295,153547.69131359807,123411.41223672999,-904.7,10 Paumes
296,153566.0625321437,123402.64415515137,-906.9,10 Paumes
297,153882.3156594314,123256.02857555202,-936.78,10 Paumes
298,153903.0852602838,123257.62847477735,-936.78,10 Paumes
299,153920.36417191743,123256.87215877991,-936.78,10 Paumes
300,154002.68740568767,123258.81772434081,-933.0,10 Paumes
301,154028.61828480574,123207.8640513656,-948.4,10 Paumes
302,153988.05714315022,123102.45889552122,-947.0,10 Paumes
303,154075.91314500256,123107.62512173048,-947.95,10 Paumes
304,154156.8954604335,123196.07813046702,-947.9,10 Paumes
305,154181.65547253157,123150.05865970542,-949.3,10 Paumes
306,154216.79676518092,123118.63797954746,-943.3,10 Paumes
307,154322.23185945768,123194.3245322254,-936.2,10 Paumes
308,154341.17698331786,123168.89735772207,-936.52,10 Paumes
309,154428.2706527971,123419.11891308987,-900.2,10 Paumes
310,154442.83398818315,123418.20233953411,-897.0,10 Paumes
311,154468.39620623834,123413.51763024909,-894.4,10 Paumes
